season,event,start_at,end_at,nikke_name,company,type,burst,code,weapon,banner
일반,최초 픽업,2022-11-10 00:00:00+09:00,2022-11-24 00:00:00+09:00,헬름,엘리시온,화력형,3,수냉,SR,
일반,HIGHTECH TOY,2022-11-24 00:00:00+09:00,2022-12-08 00:00:00+09:00,라플라스,미실리스,화력형,3,철갑,RL,
크리스마스,MIRACLE SNOW,2022-12-08 00:00:00+09:00,2022-12-28 00:00:00+09:00,루피 : 윈터 쇼퍼,테트라,방어형,1,전격,AR,
크리스마스,MIRACLE SNOW,2022-12-15 00:00:00+09:00,2022-12-28 00:00:00+09:00,앤 : 미라클 페어리,미실리스,지원형,2,풍압,RL,
신년,BRAND NEW YEAR,2023-01-01 00:00:00+09:00,2023-01-19 00:00:00+09:00,모더니아,필그림,화력형,3,작열,MG,
일반,D-OUTSIDERS,2023-01-12 00:00:00+09:00,2023-01-25 00:00:00+09:00,자칼,미실리스,방어형,1,철갑,RL,
일반,D-OUTSIDERS,2023-01-19 00:00:00+09:00,2023-01-31 00:00:00+09:00,바이퍼,테트라,화력형,2,수냉,SG,
메이드,Maid in Valentine,2023-02-01 00:00:00+09:00,2023-02-15 00:00:00+09:00,코코아,테트라,지원형,1,작열,SR,
메이드,Maid in Valentine,2023-02-08 00:00:00+09:00,2023-02-21 00:00:00+09:00,소다,테트라,지원형,1,작열,MG,
콜라보,BULLET × CHAINSAW,2023-02-22 00:00:00+09:00,2023-03-15 00:00:00+09:00,마키마,어브노말,방어형,2,수냉,SMG,
콜라보,BULLET × CHAINSAW,2023-02-22 00:00:00+09:00,2023-03-15 00:00:00+09:00,파워,어브노말,화력형,3,작열,RL,
일반,BOW WOW PARADISE,2023-03-15 00:00:00+09:00,2023-03-30 00:00:00+09:00,비스킷,테트라,지원형,2,전격,RL,
일반,Cherry Blossom,2023-03-30 00:00:00+09:00,2023-04-13 00:00:00+09:00,사쿠라,테트라,지원형,1,작열,SR,
일반,LICENSE To KILL,2023-04-13 00:00:00+09:00,2023-04-27 00:00:00+09:00,D,엘리시온,화력형,3,풍압,SMG,
일반,LICENSE To KILL,2023-04-13 00:00:00+09:00,2023-04-27 00:00:00+09:00,앨리스,테트라,화력형,3,작열,SR,
