chapter,stage,normal_power,normal_boss,normal_code,normal_type,hard_power,hard_boss,hard_code,hard_type,story,notes
0,1,?,,?,,5700,,수냉,,○,BA-01 다운
0,2,140,,수냉,,6300,,수냉,,○,
0,3,350,,철갑,,9900,,수냉,,○,
1,1,460,,수냉,,12900,,철갑,,○,
1,2,520,,전격,,14800,,철갑,,○,
1,3,610,,철갑,,16500,,철갑,,○,
1,4,1160,블랙스미스,수냉,보스전,18300,블랙스미스,수냉,보스전,○,시뮬레이션 룸 개방
2,1,490,,작열,,23400,,전격,,○,아케이드 개방
2,2,520,,작열,,23700,,전격,,,
2,EX스테이지,80레벨 고정,알트아이젠,수냉,EX보스전,110레벨 고정,알트아이젠,수냉,EX보스전,,
2,3,560,,작열,,24400,,전격,,○,
2,4,610,,작열,,25400,,전격,,,
2,5,660,,작열,,26200,,전격,,○,
2,6,710,,작열,,26600,,전격,,○,상점 개방
2,7,760,,작열,,26900,,전격,,,
2,8,800,,작열,,27900,,전격,,○,
2,9,840,,작열,,30200,,전격,,○,
2,10,860,,작열,,30700,,전격,,,
2,11,900,,작열,,31800,,전격,,○,
2,12,1030,그레이브 디거,풍압,보스전,32900,그레이브 디거,풍압,보스전,○,"임시 합류, 전초기지 개방 / 리세마라 구간"
3,1,1180,,풍압,,44000,,풍압,,○,
3,2,1240,,풍압,,46000,,풍압,,,
3,3,1310,,풍압,,46600,,풍압,,,트라이브 타워 개방
3,4,1400,,풍압,,48100,,풍압,,,
3,5,1470,,풍압,,49400,,풍압,,○,
3,6,1650,,풍압,,50100,,풍압,,,택틱 아카데미 개방
3,7,1800,,풍압,,51600,,풍압,,,
3,8,1980,,풍압,,51600,,풍압,,○,
3,9,2150,,풍압,,52800,,풍압,,,일반개체 요격전 LEVEL D 개방
3,10,2290,,풍압,,53500,,풍압,,,
3,11,2510,,풍압,,54800,,풍압,,○,
3,EX스테이지,80레벨 고정,테르밋B,풍압,EX보스전,140레벨 고정,테르밋B,풍압,EX보스전,,
3,12,2660,,풍압,거점방어전,56000,,풍압,거점방어전,○,
3,13,2920,,풍압,,56600,,풍압,,,
3,14,3170,,풍압,,58200,,풍압,,○,
3,15,3400,,풍압,,58700,,풍압,,,
3,16,3600,스푸키,풍압,보스전,65800,스푸키,풍압,보스전,○,"아레나, 아레나 상점 개방"
4,1,3720,,풍압,,78000,,풍압,,○,
4,2,3740,,풍압,,79200,,풍압,,,"유니온, 유니온 상점 개방"
4,3,3900,,풍압,,81500,,풍압,,○,
4,4,3910,,풍압,,84500,,풍압,,○,
4,5,3930,,풍압,,87600,,풍압,,,
4,6,4050,토커티브,작열,보스전,89900,토커티브,작열,보스전,○,
4,7,4070,,풍압,,90700,,풍압,,,
4,8,4080,,풍압,,91600,,풍압,,,
4,9,4290,,풍압,,95800,,풍압,,○,
4,10,4350,,풍압,,96700,,풍압,,,
4,11,4360,,풍압,,97500,,풍압,,,
4,12,4440,,풍압,,100500,,풍압,,○,
4,EX스테이지,80레벨 고정,벌컨R,전격,EX보스전,,,,,,노말 EX
4,13,4460,,풍압,,101300,,풍압,,,
4,14,4470,,풍압,,103500,,풍압,,,
4,15,4680,,풍압,,110200,,풍압,,○,싱크로 디바이스 개방
4,EX스테이지,,,,,190레벨 고정,블랙스미스,수냉,EX보스전,,4-16 클리어 이후 접근 가능 / 하드 EX
4,16,4720,,풍압,,113400,,풍압,,○,
4,17,4740,,풍압,,114900,,풍압,,,
4,18,4910,스카프,작열,보스전,120900,스카프,작열,보스전,○,하드 모드 개방
5,1,5040,,수냉,,132000,,수냉,,○,
5,2,5050,,수냉,,132020,,수냉,,,
5,3,6390,,수냉,,137400,,수냉,,○,로스트 섹터 개방
5,4,6410,,수냉,,137420,,수냉,,○,
5,5,6430,,수냉,,137440,,수냉,,,
5,6,6550,,수냉,,138200,,수냉,,○,
5,7,6620,,수냉,,138220,,수냉,,○,
5,EX스테이지,80레벨 고정,,전격,EX섬멸전,210레벨 고정,테르밋,수냉,EX보스전,,
5,8,6950,,수냉,,138240,,수냉,,,
5,9,6960,,수냉,,138260,,수냉,,,
5,10,6980,,수냉,,139100,,수냉,,○,리사이클 룸 개방
5,11,6990,,수냉,,139120,,수냉,,,
5,12,7010,,수냉,,139140,,수냉,,○,
5,13,7030,,수냉,,139160,,수냉,,,
5,14,7040,,수냉,,139180,,수냉,,,
5,15,7180,,수냉,,144300,,수냉,,○,
5,16,7200,,수냉,,144320,,수냉,,,
5,17,7220,,수냉,,144340,,수냉,,,
5,18,7500,,수냉,,145100,,수냉,,○,
5,19,7560,,수냉,,145120,,수냉,,○,
5,EX스테이지,80레벨 고정,테르밋,수냉,EX보스전,210레벨 고정,벌컨R,전격,EX보스전,,
5,20,7820,랜드이터,전격,보스전,146100,랜드이터,전격,보스전,○,해방 개방
6,1,7980,,수냉,,146120,,수냉,,○,빠른 전투 가능
6,2,8000,,수냉,,146140,,수냉,,,
6,3,8010,,수냉,,146900,,수냉,,,
6,4,8560,,수냉,,146920,,수냉,,○,"솔로레이드, 솔로레이드 뮤지엄, 소장품&애장품 개방"
6,5,8570,,수냉,,146940,,수냉,,,
6,6,8590,,수냉,,148000,,수냉,,○,
6,6A-1,8600,,수냉,저지전,148020,,수냉,저지전,,
6,6A-2,8620,,수냉,저지전,148040,,수냉,저지전,,
6,6B-1,8640,,수냉,거점방어전,148060,,수냉,거점방어전,,
6,6B-2,8650,,수냉,거점방어전,148900,,수냉,거점방어전,,
6,7,8670,,수냉,,148920,,수냉,,,
6,8,8680,,수냉,,148940,,수냉,,,
6,9,8960,,수냉,,149700,,수냉,,○,
6,EX스테이지,80레벨 고정,,전격,EX저지전,225레벨 고정,,전격,EX거점방어전,,
6,9A-1,8970,,수냉,섬멸전,149720,,수냉,섬멸전,,
6,9A-2,8990,,수냉,섬멸전,149740,,수냉,섬멸전,,
6,10,9040,,수냉,,149760,,수냉,,,
6,11,9050,,수냉,,149780,,수냉,,,
6,12,9440,,수냉,,150500,,수냉,,○,
6,13,9450,,수냉,,150520,,수냉,,,
6,14,9470,,수냉,,150540,,수냉,,,
6,15,9840,,수냉,,153200,,수냉,,○,사이드 스토리 개방
6,16,9850,,수냉,,153220,,수냉,,,
6,17,9870,,수냉,,153240,,수냉,,,
6,18,9880,,수냉,,154300,,수냉,,,
6,19,9950,,수냉,,154320,,수냉,,,
6,20,9960,,수냉,,154340,,수냉,,,
6,21,10320,,수냉,,155100,,수냉,,○,
6,EX스테이지,80레벨 고정,빅 토르소,전격,EX보스전,225레벨 고정,빅 토르소,전격,EX보스전,,
6,22,10330,,수냉,,155120,,수냉,,,
6,23,10350,,수냉,,155140,,수냉,,,
6,24,10360,토커티브,작열,보스전,157800,토커티브,작열,보스전,○,스토리 모드 개방
7,1,10560,,철갑,,157820,,철갑,,,
7,2,10570,,철갑,,157840,,철갑,,,
7,3,11090,,철갑,,157860,,철갑,,○,
7,4,11110,,철갑,,157880,,철갑,,,
7,5,11120,,철갑,,157900,,철갑,,,
7,6,11500,,철갑,,158700,,철갑,,,
7,6A-1,11510,,철갑,저지전,158720,,철갑,저지전,,
7,6A-2,11530,,철갑,저지전,158740,,철갑,저지전,,
7,6A-3,11550,,철갑,저지전,158760,,철갑,저지전,,
7,6B-1,11560,,철갑,거점방어전,158780,,철갑,거점방어전,,
7,6B-2,11580,,철갑,거점방어전,158800,,철갑,거점방어전,,
7,6B-3,11590,,철갑,거점방어전,159900,,철갑,거점방어전,,
7,7,11640,,철갑,,159920,,철갑,,,
7,8,11660,,철갑,,159940,,철갑,,,
7,9,11980,,철갑,,160700,,철갑,,○,
7,EX스테이지,100레벨 고정,,수냉,EX거점방어전,235레벨 고정,,수냉,EX저지전,,
7,10,12000,,철갑,,160720,,철갑,,,
7,11,12020,,철갑,,160740,,철갑,,,
7,12,12310,,철갑,,163700,,철갑,,○,
7,13,12320,,철갑,,163720,,철갑,,,기업 타워 개방
7,14,12340,,철갑,,163740,,철갑,,,
7,15,12360,,철갑,,169400,,철갑,,,
7,16,12370,,철갑,,169420,,철갑,,,
7,17,12390,,철갑,,169440,,철갑,,,
7,18,12790,,철갑,,170400,,철갑,,○,
7,18A-1,12810,,철갑,저지전,170420,,철갑,저지전,,
7,18A-2,12830,,철갑,저지전,170440,,철갑,저지전,,
7,18B-1,12840,,철갑,거점방어전,170460,,철갑,거점방어전,,
7,18B-2,12860,,철갑,거점방어전,170480,,철갑,거점방어전,,
7,19,12960,,철갑,,170500,,철갑,,,
7,20,12970,,철갑,,170520,,철갑,,,
7,21,13200,,철갑,,172400,,철갑,,○,
7,EX스테이지,100레벨 고정,빅 암즈,수냉,EX보스전,235레벨 고정,빅 암즈,수냉,EX보스전,,
7,22,13210,,철갑,,173200,,철갑,,,
7,23,13230,,철갑,,176900,,철갑,,,
7,24,13250,모더니아,풍압,보스전,177700,모더니아,풍압,보스전,○,
8,1,13430,,철갑,,177700,,철갑,,○,
8,2,13440,,철갑,,177720,,철갑,,,
8,3,13690,,철갑,,178800,,철갑,,,
8,4,13710,,철갑,,178820,,철갑,,,
8,5,13720,,철갑,,178840,,철갑,,,
8,6,14100,,철갑,,181500,,철갑,,○,
8,7,14120,,철갑,,181520,,철갑,,,
8,8,14130,,철갑,,181540,,철갑,,,
8,9,14150,,철갑,,182400,,철갑,,○,
8,EX스테이지,100레벨 고정,,작열,EX저지전,245레벨 고정,,철갑,EX섬멸전,,
8,10,14210,,철갑,,182420,,철갑,,,
8,11,14230,,철갑,,182440,,철갑,,,
8,12,14430,,철갑,,185900,,철갑,,○,
8,13,14440,,철갑,,185920,,철갑,,,
8,14,14460,,철갑,,185940,,철갑,,,
8,15,14480,,철갑,,186700,,철갑,,,
8,16,14490,,철갑,,186720,,철갑,,,
8,17,14510,,철갑,,186740,,철갑,,,
8,18,15000,,철갑,,187800,,철갑,,○,
8,19,15050,,철갑,,187820,,철갑,,,
8,20,15070,,철갑,,187840,,철갑,,,
8,21,15080,,철갑,,188600,,철갑,,○,
8,EX스테이지,100레벨 고정,포터,철갑,EX보스전,245레벨 고정,포터,철갑,EX보스전,,
8,22,15100,,철갑,,188620,,철갑,,,
8,23,15120,,철갑,,188640,,철갑,,,
8,24,16560,,철갑,,189900,,철갑,,,
8,25,16580,,철갑,,189920,,철갑,,,
8,26,16590,,철갑,,189940,,철갑,,,
8,27,16610,타이피스,작열,보스전,192700,타이피스,작열,보스전,○,
9,1,16880,,전격,,192720,,전격,,○,
9,2,16890,,전격,,192740,,전격,,,
9,3,17260,,전격,,199100,,전격,,,
9,4,17280,,전격,,199120,,전격,,,
9,5,17290,,전격,,199140,,전격,,,
9,6,17840,,전격,,199900,,전격,,○,
9,EX스테이지,100레벨 고정,그레이브 디거,풍압,EX보스전,255레벨 고정,,수냉,EX거점방어전,,
9,7,17860,,전격,,199920,,전격,,,
9,8,17870,,전격,,199940,,전격,,,
9,9,17890,,전격,,200900,,전격,,,
