이름1,소속1,스쿼드1,상태1,등장1,skel1,atlas1,이름2,소속2,스쿼드2,상태2,등장2,skel2,atlas2
아이리,엘리시온,오버시어,,36챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c440/c440_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c440/c440_00.atlas,,,,,,,
스카이,엘리시온,오버 더 호라이즌,,OVER THE HORIZON,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c530/c530_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c530/c530_00.atlas,,,,,,,
시엘로,엘리시온,오버 더 호라이즌,,OVER THE HORIZON,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c531/c531_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c531/c531_00.atlas,,,,,,,
해머링,엘리시온,해머&드릴,,27챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c490/c490_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c490/c490_00.atlas,,,,,,,
드릴리,엘리시온,해머&드릴,,29챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c491/c491_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c491/c491_00.atlas,,,,,,,
리버린,엘리시온,패스파인더,,27챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c480/c480_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c480/c480_00.atlas,,,,사망,,,
프레자일,엘리시온,패스파인더,,29챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c481/c481_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c481/c481_00.atlas,,,,사망,,,
드레이크:???,미실리스,메티스,,38챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c104/c104_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c104/c104_00.atlas,,,,,,,
리프,미실리스,보타닉 가든,,,,,,,,,,,
피아,미실리스,마스터 핸드,,,,,,,,,,,
포르테,미실리스,마스터 핸드,,,,,,,,,,,
유니,미실리스,워드리스,,WORDLESS,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c985/c985_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c985/c985_00.atlas,,,,,,,
리안,미실리스,,,14챕터,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c905/c905_00.skel,https://raw.githubusercontent.com/Nikke-db/Nikke-db.github.io/refs/heads/main/l2d/c905/c905_00.atlas,,,,,,,
